item_id,pedido_id,produto_id,quantidade,preco_unitario,subtotal
1180732,484081,3723,1,546.9,546.9
3695027,287621,4466,1,628.09,628.09
7644392,287621,3343,3,471.18,1413.54
1137182,287621,4263,3,690.28,2070.84
7354669,572232,5275,3,256.39,769.17
6510127,572232,4618,3,492.86,1478.58
4779848,572232,2290,2,996.87,1993.74
7936024,389605,2591,2,752.08,1504.16
7245772,389605,1740,1,622.54,622.54
4245084,389605,7777,3,738.13,2214.39
2107772,127925,6533,2,490.13,980.26
6786138,127925,5292,1,277.61,277.61
9023249,127925,4505,1,844.53,844.53
2558296,127925,5125,3,630.11,1890.33
8745249,200817,2927,2,178.5,357.0
7038864,200817,5033,3,269.85,809.55
2975098,849212,8113,1,461.47,461.47
5004815,849212,4852,2,371.92,743.84
3683725,849212,7078,3,880.2,2640.6
2754919,849212,4826,2,437.71,875.42
6765451,201017,6576,3,663.07,1989.21
7694620,201017,7054,2,284.13,568.26
9898725,938461,1486,1,733.91,733.91
9207349,938461,5287,2,932.02,1864.04
8205510,938461,9147,1,197.24,197.24
1755428,938461,4793,1,622.92,622.92
4361137,236952,8044,2,139.19,278.38
5995524,236952,3490,1,796.84,796.84
3394564,381506,4550,1,297.02,297.02
2374660,153303,3086,2,394.32,788.64
1626642,153303,7146,1,252.85,252.85
7796018,153303,4692,3,709.15,2127.45
9768934,153303,5033,1,269.85,269.85
8287875,153303,9432,2,304.54,609.08
7114907,984415,6239,1,873.08,873.08
1699552,984415,5496,2,27.76,55.52
9632320,984415,7777,1,738.13,738.13
8955875,673182,3165,1,715.0,715.0
6128855,673182,4510,1,640.78,640.78
8768151,461704,3958,3,444.18,1332.54
5837442,461704,9657,3,814.61,2443.83
9062212,520591,1545,3,720.15,2160.45
8899610,652702,8388,2,910.51,1821.02
6601618,652702,2118,2,366.04,732.08
7209494,652702,4466,2,628.09,1256.18
7578802,652702,8478,1,688.4,688.4
9781130,652702,8143,2,355.45,710.9
2157638,792064,6030,2,685.81,1371.62
5063143,792064,3825,3,125.95,377.85
6980206,792064,4790,2,781.35,1562.7
3784616,963610,5009,2,16.56,33.12
7688972,886072,3957,3,331.23,993.69
7537792,886072,4272,3,269.87,809.61
5574377,886072,9196,3,221.01,663.03
8938008,886072,6575,2,855.86,1711.72
1791530,699513,6918,1,365.93,365.93
4601592,699513,2172,2,118.79,237.58
9570664,699513,4116,1,606.97,606.97
9066263,523270,8478,1,688.4,688.4
6550841,523270,9076,2,620.55,1241.1
3765680,612137,4171,1,684.12,684.12
8091452,612137,9986,1,203.89,203.89
6063889,612137,3723,3,546.9,1640.7
2477398,612137,7820,2,209.56,419.12
8011976,786733,5598,3,987.74,2963.22
7501581,786733,8651,2,114.68,229.36
8855108,786733,4600,1,842.74,842.74
4145635,786733,2267,2,747.58,1495.16
1396664,786733,1984,1,51.61,51.61
6497982,427205,2872,2,960.78,1921.56
5328902,427205,8649,3,943.39,2830.17
5932257,427205,3086,2,394.32,788.64
2534108,427205,5314,3,880.5,2641.5
5707537,572955,7682,1,305.16,305.16
3847639,572955,8697,1,882.65,882.65
9315402,572955,1209,1,568.56,568.56
4390581,734919,1032,1,537.37,537.37
8896067,734919,9188,2,424.06,848.12
3199311,734919,4365,1,203.44,203.44
9642594,734919,4778,2,399.4,798.8
9291653,920745,5009,3,16.56,49.68
3417834,920745,4852,1,371.92,371.92
1136803,920745,4191,2,22.13,44.26
5142448,920745,8818,2,449.11,898.22
9427801,920745,2388,3,247.21,741.63
4188205,818068,9863,2,717.74,1435.48
2792860,361372,6741,2,67.49,134.98
3912590,361372,9494,3,331.93,995.79
8679192,361372,1047,1,423.94,423.94
7126187,665468,8103,1,692.15,692.15
6184137,665468,2267,3,747.58,2242.74
9859783,665468,6386,1,274.03,274.03
6354946,665468,1682,2,86.78,173.56
7591763,229789,9077,3,604.55,1813.65
1149748,229789,6533,2,490.13,980.26
1741369,229789,9307,1,169.21,169.21
1966359,229789,7054,2,284.13,568.26
9656831,739895,8588,3,801.94,2405.82
2591833,739895,8853,1,440.55,440.55
2624127,739895,4227,1,870.6,870.6
6471986,659213,1916,3,460.13,1380.39
5846773,659213,9258,3,152.49,457.47
8449575,659213,2872,3,960.78,2882.34
7515309,659213,4403,3,262.78,788.34
5472742,807574,3957,3,331.23,993.69
7089742,807574,7057,3,150.08,450.24
6429178,807574,6678,3,840.66,2521.98
5906609,807574,6918,2,365.93,731.86
8000993,540793,4550,1,297.02,297.02
4097631,540793,1016,1,951.66,951.66
7078754,540793,5609,3,720.8,2162.4
4072280,914775,8108,1,828.7,828.7
9389844,914775,1486,2,733.91,1467.82
3573501,914775,4936,3,238.78,716.34
1114809,914775,4913,1,525.66,525.66
2191382,975065,3063,2,379.95,759.9
4711520,975065,5957,3,750.9,2252.7
7450040,975065,3143,2,635.63,1271.26
6722565,145538,6875,1,79.54,79.54
8501885,145538,4913,1,525.66,525.66
5517882,145538,7820,1,209.56,209.56
6880876,145538,5598,3,987.74,2963.22
2409170,777384,9586,2,410.21,820.42
8025760,777384,9558,3,128.69,386.07
9987021,777384,8394,2,262.52,525.04
8354063,777384,5732,1,389.57,389.57
9350602,797775,4505,2,844.53,1689.06
2004928,919447,1442,2,738.27,1476.54
9998858,919447,3957,3,331.23,993.69
2304456,919447,3343,1,471.18,471.18
7001466,725768,6188,1,71.38,71.38
5072802,725768,5609,2,720.8,1441.6
1438960,156580,1571,2,480.78,961.56
3150877,156580,1788,1,920.02,920.02
5347904,156580,9033,3,741.31,2223.93
4644079,156580,7106,2,349.38,698.76
6363325,543238,7212,1,353.8,353.8
1614069,543238,1684,2,999.11,1998.22
4079108,543238,3986,1,578.03,578.03
4430552,873905,7962,2,712.38,1424.76
5604509,423207,6028,1,163.87,163.87
6124954,423207,3946,2,132.25,264.5
2092992,571131,2914,3,24.44,73.32
6815749,506661,4317,3,416.97,1250.91
8060212,432138,1550,2,587.5,1175.0
3178917,432138,3947,3,448.9,1346.7
8400520,432138,6645,2,120.03,240.06
4454620,432138,4778,1,399.4,399.4
3692360,490006,4269,3,967.88,2903.64
2028825,490006,8853,3,440.55,1321.65
7579782,490006,6576,1,663.07,663.07
7709706,490006,8472,3,161.87,485.61
1503841,695412,8202,3,610.32,1830.96
5937388,695412,9173,2,762.55,1525.1
2052614,695412,7245,3,445.85,1337.55
2421634,695412,5426,1,760.41,760.41
4214526,491330,8061,2,155.8,311.6
9872390,639370,7520,2,836.05,1672.1
8464880,945843,4474,3,555.43,1666.29
7911236,945843,7254,1,728.84,728.84
9867609,945843,7282,2,928.54,1857.08
5764706,945843,1418,1,688.98,688.98
4470821,737885,8093,3,966.68,2900.04
5701229,737885,2741,1,656.27,656.27
7707244,737885,5314,1,880.5,880.5
5410742,737885,6339,2,585.49,1170.98
2785860,737885,1916,3,460.13,1380.39
4346497,815816,5599,1,816.02,816.02
6674944,815816,5624,2,619.92,1239.84
6863105,815816,9616,3,463.39,1390.17
6497248,815816,5287,1,932.02,932.02
6630054,815816,5033,1,269.85,269.85
6227351,689622,4269,1,967.88,967.88
5746380,689622,1568,1,170.59,170.59
6428711,689622,9985,1,621.85,621.85
3063026,689622,4222,3,550.98,1652.94
8994059,689622,1726,2,348.54,697.08
5353510,967935,8093,1,966.68,966.68
9693690,777783,9866,2,959.88,1919.76
7301360,777783,7255,2,967.89,1935.78
2011314,460255,2382,2,336.87,673.74
9507067,460255,3723,2,546.9,1093.8
8726836,460255,7785,3,86.47,259.41
3245760,460255,3164,1,213.16,213.16
5241795,460255,1085,1,557.56,557.56
8176598,757917,9866,1,959.88,959.88
1503833,757917,8376,2,118.04,236.08
9820489,562157,1044,2,453.69,907.38
9332723,339791,3558,1,202.56,202.56
5919059,339791,9188,3,424.06,1272.18
6090585,768091,4936,3,238.78,716.34
1355302,768091,9184,3,803.95,2411.85
9592615,768091,3825,2,125.95,251.9
6000737,768091,1136,2,202.87,405.74
6381041,768091,8061,3,155.8,467.4
5553594,586917,5609,2,720.8,1441.6
4464323,586917,1739,3,748.94,2246.82
8631735,914254,7245,1,445.85,445.85
2333513,914254,9389,1,451.95,451.95
3634391,914254,8955,1,500.42,500.42
6386350,914254,4272,3,269.87,809.61
9548452,132518,1180,1,118.03,118.03
4426349,239312,6111,2,782.77,1565.54
6197020,239312,4692,1,709.15,709.15
2512226,239312,5361,3,668.01,2004.03
6247113,239312,8835,2,496.18,992.36
4172491,723698,7054,2,284.13,568.26
2309547,723698,5009,2,16.56,33.12
8513283,723698,7054,1,284.13,284.13
8370055,705608,2736,3,109.98,329.94
7129945,705608,1512,2,231.78,463.56
4473077,705608,7212,1,353.8,353.8
5020736,705608,1051,3,563.16,1689.48
5075046,705608,5496,3,27.76,83.28
8660699,410436,6512,1,390.72,390.72
2589749,410436,8202,2,610.32,1220.64
3850824,410436,2563,1,250.49,250.49
9154882,410436,5220,2,65.1,130.2
9977032,824315,8868,1,232.88,232.88
4970983,824315,2127,3,760.3,2280.9
5312672,824315,9389,3,451.95,1355.85
8266232,824315,9928,2,982.97,1965.94
4647356,329231,4323,1,831.83,831.83
7226188,329231,3227,1,957.61,957.61
4363841,329231,6560,1,913.72,913.72
7496601,259099,5994,1,917.53,917.53
9149875,259099,1343,2,559.24,1118.48
2422833,891044,2287,2,679.4,1358.8
4136091,891044,8248,2,859.54,1719.08
1000004,891044,6875,3,79.54,238.62
2687708,891044,8285,2,287.92,575.84
9077913,891044,8588,2,801.94,1603.88
7900242,823406,7786,1,814.77,814.77
4489950,823406,5004,3,415.29,1245.87
3711758,823406,5906,1,995.38,995.38
4239685,823406,5746,1,384.68,384.68
7377541,823406,4403,1,262.78,262.78
7324547,963382,3634,1,508.34,508.34
1411108,963382,7989,2,526.81,1053.62
9633081,136954,7510,3,36.76,110.28
2328012,136954,7254,2,728.84,1457.68
5762576,243681,1916,2,460.13,920.26
5016013,243681,4953,3,461.74,1385.22
6652220,243681,3342,1,498.71,498.71
2237469,243681,6438,2,397.22,794.44
3004260,330917,1516,3,897.55,2692.65
6818640,330917,9863,3,717.74,2153.22
9029261,330917,6736,1,958.33,958.33
2777074,330917,1334,3,834.24,2502.72
7366084,330917,2954,3,938.96,2816.88
7601991,824550,2172,1,118.79,118.79
9019199,824550,8709,1,774.01,774.01
9904271,824550,6966,2,575.4,1150.8
3994621,824550,3913,3,499.45,1498.35
1775835,824550,8390,1,600.72,600.72
9649566,982176,1136,2,202.87,405.74
7372922,982176,7078,2,880.2,1760.4
8047150,982176,2346,1,824.52,824.52
7105742,460773,3677,2,923.33,1846.66
1714328,460773,6955,3,404.68,1214.04
3430149,738986,6808,3,640.47,1921.41
7632688,738986,3537,1,882.99,882.99
2492372,738986,5553,1,510.24,510.24
6831428,738986,8853,1,440.55,440.55
9998590,738986,5361,2,668.01,1336.02
8872928,614504,7254,3,728.84,2186.52
2916680,349911,9942,1,826.14,826.14
9030857,447819,2872,3,960.78,2882.34
4734878,447819,8108,1,828.7,828.7
7490704,208630,9985,3,621.85,1865.55
9327855,208630,1334,3,834.24,2502.72
2173033,208630,5287,3,932.02,2796.06
8799861,208630,8372,3,28.46,85.38
3331439,208630,5046,3,363.5,1090.5
1158759,526516,8011,2,888.52,1777.04
7107754,870318,1225,1,722.41,722.41
7943831,870318,1085,1,557.56,557.56
3763789,384397,9184,1,803.95,803.95
3476857,384397,7819,1,244.75,244.75
3843968,384397,8384,3,202.4,607.2
7529923,384397,2118,1,366.04,366.04
5402898,384397,3978,2,346.9,693.8
3473973,460140,4191,3,22.13,66.39
9203944,460140,2934,1,772.11,772.11
3558136,259710,8550,3,632.09,1896.27
8006172,259710,7054,3,284.13,852.39
5835685,259710,2484,1,230.09,230.09
6482773,173457,2410,2,623.14,1246.28
2736645,173457,6030,1,685.81,685.81
4946866,173457,4183,2,845.07,1690.14
5279506,173457,4366,2,209.99,419.98
2360175,173457,8550,1,632.09,632.09
9046111,595605,3947,2,448.9,897.8
7877353,595605,6220,3,582.67,1748.01
3585667,595605,9188,3,424.06,1272.18
6501672,595605,9863,1,717.74,717.74
4590012,595605,7106,3,349.38,1048.14
5925260,161656,3491,2,882.53,1765.06
7839238,161656,7819,1,244.75,244.75
8430126,161656,3063,1,379.95,379.95
7887984,851507,6575,3,855.86,2567.58
9126440,851507,1457,1,556.0,556.0
3392298,851507,7254,1,728.84,728.84
9209102,851507,3825,1,125.95,125.95
5540345,464401,5125,2,630.11,1260.22
4538569,464401,7255,3,967.89,2903.67
4451238,464401,2267,2,747.58,1495.16
6427628,806097,8846,2,68.05,136.1
2606436,806097,8011,1,888.52,888.52
3674080,796055,7199,2,440.4,880.8
1969610,796055,1016,1,951.66,951.66
2540460,796055,2772,3,199.08,597.24
9337102,796055,3084,3,772.27,2316.81
1865660,476061,2127,1,760.3,760.3
2297252,476061,9177,1,274.65,274.65
2276534,476061,5731,3,258.03,774.09
2524748,476061,3958,3,444.18,1332.54
6436264,551568,2346,1,824.52,824.52
7829810,911356,5496,2,27.76,55.52
3146079,911356,4510,3,640.78,1922.34
6134455,911356,4087,2,655.82,1311.64
3521838,421674,6030,1,685.81,685.81
6525999,421674,2768,1,182.73,182.73
4858492,421674,7393,1,454.38,454.38
7543446,338829,1016,2,951.66,1903.32
1911031,227882,5599,2,816.02,1632.04
9176686,227882,1571,2,480.78,961.56
2880301,227882,3165,3,715.0,2145.0
1378775,864092,9474,1,852.48,852.48
7915165,864092,3094,1,959.96,959.96
5330838,864092,1522,2,564.44,1128.88
3746653,130753,8276,3,269.97,809.91
2984344,130753,1362,1,709.3,709.3
9371585,130753,9571,2,416.11,832.22
2473732,888403,1545,2,720.15,1440.3
4929196,888403,3419,3,369.21,1107.63
2550393,595263,1233,3,43.38,130.14
6266283,595263,8143,3,355.45,1066.35
4737969,595263,1235,1,190.27,190.27
2444174,595263,2602,1,539.41,539.41
8572546,971267,8489,3,918.61,2755.83
8824105,971267,3817,2,877.35,1754.7
7112687,971267,2309,1,414.57,414.57
3868531,476469,1514,3,543.84,1631.52
9013934,476469,6427,1,196.14,196.14
4913413,174237,1684,1,999.11,999.11
1056753,174237,4269,1,967.88,967.88
8397730,572046,5329,1,69.5,69.5
4980006,572046,1462,2,980.82,1961.64
4061195,572046,1241,1,121.94,121.94
8432892,572046,3063,2,379.95,759.9
9297874,572046,6966,3,575.4,1726.2
5701696,799500,2704,1,375.08,375.08
9021505,799500,8285,1,287.92,287.92
9128730,866351,1613,1,876.75,876.75
8429688,866351,4078,3,148.91,446.73
7259530,636532,1568,2,170.59,341.18
3943882,636532,3474,3,291.93,875.79
9062477,636532,3187,1,522.81,522.81
1188060,636532,6241,2,658.5,1317.0
8444532,636532,2572,2,292.27,584.54
3428421,985624,8697,3,882.65,2647.95
2770494,985624,4454,1,668.95,668.95
4653979,985624,5431,3,749.18,2247.54
7862897,985624,3803,1,280.62,280.62
7822929,504234,1180,3,118.03,354.09
6072725,504234,9033,3,741.31,2223.93
1286529,504234,6591,1,983.16,983.16
5962761,517675,2131,3,530.31,1590.93
6002725,517675,8709,1,774.01,774.01
1290234,517675,5599,1,816.02,816.02
9653709,297324,5276,1,921.88,921.88
8026396,297324,9985,3,621.85,1865.55
9516642,297324,6386,1,274.03,274.03
3106011,943553,2290,2,996.87,1993.74
2196644,943553,8388,3,910.51,2731.53
1131033,943553,7121,3,34.29,102.87
6130533,943553,4403,2,262.78,525.56
8463883,333946,9154,2,846.85,1693.7
6897139,333946,4263,3,690.28,2070.84
2450313,333946,6386,2,274.03,548.06
8715168,333946,8202,3,610.32,1830.96
7240533,367296,8120,2,75.23,150.46
3656708,367296,3491,2,882.53,1765.06
6695628,367296,1550,2,587.5,1175.0
8703865,367296,4909,2,990.1,1980.2
1372697,632954,7004,2,26.06,52.12
3683636,632954,3723,2,546.9,1093.8
1749213,465668,2166,1,299.82,299.82
4383052,465668,4732,2,455.79,911.58
3453487,465668,4860,3,366.97,1100.91
8648744,465668,1522,1,564.44,564.44
2116847,956884,8709,2,774.01,1548.02
1147817,956884,4102,3,414.91,1244.73
9483104,956884,8248,1,859.54,859.54
4012562,264175,4143,1,750.05,750.05
2841866,264175,5595,3,978.63,2935.89
5032903,264175,9530,2,145.3,290.6
2053131,264175,7057,2,150.08,300.16
9392433,290985,3958,1,444.18,444.18
8293576,290985,5024,3,125.77,377.31
7372011,290985,1008,3,593.36,1780.08
1984665,990712,8574,1,905.17,905.17
5391649,990712,7245,2,445.85,891.7
7842423,990712,9351,1,740.81,740.81
1601972,990712,6486,1,218.29,218.29
6553078,733370,1149,2,659.69,1319.38
1799228,733370,6146,1,597.68,597.68
2758401,733370,5136,3,487.26,1461.78
9299197,899120,2723,2,764.22,1528.44
9435135,899120,6131,2,138.73,277.46
3608927,899120,8076,2,77.49,154.98
9684543,899120,9791,3,11.94,35.82
3344678,613813,9635,2,757.55,1515.1
9333466,613813,4719,3,88.41,265.23
6096631,613813,5024,2,125.77,251.54
5990981,520607,3957,1,331.23,331.23
3968816,520607,3315,3,220.09,660.27
4995700,520607,4028,2,715.81,1431.62
2922887,520607,7554,2,487.38,974.76
9548304,182044,9307,2,169.21,338.42
4524606,182044,1051,2,563.16,1126.32
7367410,182044,7078,1,880.2,880.2
5971597,182044,5321,3,430.85,1292.55
2503873,182044,6541,3,426.43,1279.29
7713766,528539,2136,1,237.0,237.0
7552970,528539,5526,1,800.84,800.84
8382364,528539,7393,1,454.38,454.38
7988806,528539,6607,3,335.63,1006.89
9177218,567426,5292,2,277.61,555.22
3941926,567426,6131,1,138.73,138.73
4214186,752087,8248,3,859.54,2578.62
9593248,251669,8868,2,232.88,465.76
3678981,251669,5136,3,487.26,1461.78
7576642,251669,1522,3,564.44,1693.32
6791956,251669,2180,2,523.52,1047.04
3363358,251669,9169,3,762.77,2288.31
2044841,369269,1044,2,453.69,907.38
1662855,369269,6736,2,958.33,1916.66
1862905,369269,1228,1,862.98,862.98
6862557,369269,1457,3,556.0,1668.0
9815538,280042,6331,2,51.95,103.9
4089370,280042,1211,1,701.91,701.91
1259301,280042,5994,3,917.53,2752.59
6617656,280042,3931,3,517.86,1553.58
3568715,224178,5850,2,24.19,48.38
4552782,224178,1828,2,678.64,1357.28
8998439,224178,4510,3,640.78,1922.34
4366417,224178,1681,2,357.29,714.58
8677255,224178,2772,2,199.08,398.16
6891040,203164,3143,2,635.63,1271.26
2439869,203164,7786,3,814.77,2444.31
2267663,203164,9985,1,621.85,621.85
6385904,203164,9928,1,982.97,982.97
5724507,203164,6568,1,709.53,709.53
6921214,959472,9571,2,416.11,832.22
4734139,959472,8103,2,692.15,1384.3
2885184,959472,7199,3,440.4,1321.2
4134886,959472,1383,3,378.89,1136.67
6554861,959472,2572,2,292.27,584.54
4129783,568390,4084,3,106.73,320.19
5206048,570082,1225,1,722.41,722.41
4432532,570082,8889,1,29.09,29.09
2548587,570082,4689,3,14.2,42.6
4119034,570082,8625,3,237.92,713.76
3818244,868118,8108,1,828.7,828.7
7163945,868118,8044,2,139.19,278.38
8867580,868118,6438,1,397.22,397.22
3327037,868118,8858,3,811.09,2433.27
6560163,489828,2611,2,394.98,789.96
7506465,489828,1765,3,349.89,1049.67
8725487,489828,5885,3,953.84,2861.52
6573799,489828,6634,1,203.58,203.58
3584329,489828,6146,1,597.68,597.68
9279413,554315,4323,3,831.83,2495.49
3726606,506904,2872,2,960.78,1921.56
2389180,506904,8489,2,918.61,1837.22
5074549,506904,6146,2,597.68,1195.36
8902379,719153,1209,2,568.56,1137.12
3309657,719153,3187,3,522.81,1568.43
4834922,719153,6576,2,663.07,1326.14
6649804,719153,3978,3,346.9,1040.7
7360845,386692,8093,3,966.68,2900.04
2911847,386692,2934,2,772.11,1544.22
5828457,386692,8202,1,610.32,610.32
3488025,386692,6427,1,196.14,196.14
2113527,386692,1457,2,556.0,1112.0
1222131,724417,5024,3,125.77,377.31
9295849,724417,2131,1,530.31,530.31
9367864,724417,3143,1,635.63,635.63
6522555,724417,9432,2,304.54,609.08
8468865,841731,2136,3,237.0,711.0
7667700,841731,5628,1,660.58,660.58
5213502,841731,9463,3,118.31,354.93
1509440,841731,1959,2,524.43,1048.86
6722097,841731,3677,2,923.33,1846.66
4689921,982885,7063,1,517.73,517.73
6382514,982885,5301,2,277.19,554.38
2978839,996893,6575,3,855.86,2567.58
5595024,996893,7121,1,34.29,34.29
7062409,996893,1383,2,378.89,757.78
4517892,996893,4227,3,870.6,2611.8
7035641,352092,5599,1,816.02,816.02
4028345,352092,9089,2,244.82,489.64
7349431,352092,2591,3,752.08,2256.24
3792725,412338,6541,1,426.43,426.43
4921892,412338,1047,2,423.94,847.88
9395355,412338,4269,2,967.88,1935.76
9743637,412338,4084,3,106.73,320.19
6415946,229587,1512,3,231.78,695.34
2804090,289865,7146,3,252.85,758.55
3999316,289865,3422,1,20.32,20.32
5007088,289865,1826,3,111.12,333.36
1654556,931033,6045,1,45.23,45.23
2191757,931033,4269,3,967.88,2903.64
6389588,931033,8777,1,124.21,124.21
5694700,931033,1916,2,460.13,920.26
2452216,386257,5957,3,750.9,2252.7
2775486,386257,9586,2,410.21,820.42
4850458,571214,1740,1,622.54,622.54
4858253,571214,5595,3,978.63,2935.89
4700052,571214,9863,3,717.74,2153.22
7048308,143165,8489,2,918.61,1837.22
6314136,143165,9687,1,332.32,332.32
4166138,143165,1136,1,202.87,202.87
2952406,143165,2263,2,791.05,1582.1
5990278,143165,2974,1,531.25,531.25
7693367,809147,1512,2,231.78,463.56
5961652,809147,8709,3,774.01,2322.03
5116816,809147,7785,1,86.47,86.47
3679633,104571,1214,2,565.15,1130.3
9205173,104571,6131,2,138.73,277.46
3537209,104571,8519,2,68.41,136.82
8423677,104571,6706,1,78.9,78.9
7730669,353374,2136,3,237.0,711.0
4274930,703224,1925,1,37.3,37.3
3071407,703224,7929,3,330.8,992.4
8976665,703224,9474,2,852.48,1704.96
4843167,662686,7282,2,928.54,1857.08
8525656,662686,7759,3,434.9,1304.7
4039644,662686,1932,2,808.12,1616.24
5311297,662686,1681,2,357.29,714.58
8465015,420637,4272,1,269.87,269.87
2883921,420637,1450,2,572.14,1144.28
6320359,420637,4269,3,967.88,2903.64
2424435,420637,6568,1,709.53,709.53
3937460,540648,7777,2,738.13,1476.26
7575574,540648,3544,2,41.67,83.34
1370802,540648,8144,1,712.21,712.21
7101191,540648,8574,3,905.17,2715.51
7748038,540648,2263,1,791.05,791.05
3221767,589105,1016,2,951.66,1903.32
4388282,589105,3143,1,635.63,635.63
4618093,589105,9257,1,449.53,449.53
8819845,589105,4191,2,22.13,44.26
3939531,269871,8376,1,118.04,118.04
9919208,269871,3143,2,635.63,1271.26
2320783,269871,6591,3,983.16,2949.48
4052587,269871,5598,1,987.74,987.74
8793389,427048,5721,3,939.7,2819.1
9470284,427048,7370,3,810.04,2430.12
4457217,427048,9606,1,655.21,655.21
5531737,427048,7989,1,526.81,526.81
5850154,427048,7199,1,440.4,440.4
9797484,740606,8657,3,667.03,2001.09
5679103,740606,4689,1,14.2,14.2
8027558,740606,8120,2,75.23,150.46
1888783,960811,3958,3,444.18,1332.54
5298681,341850,4365,1,203.44,203.44
4828786,341850,8574,2,905.17,1810.34
6032431,341850,4793,3,622.92,1868.76
7177959,341850,6451,3,735.49,2206.47
9311680,341850,2388,1,247.21,247.21
5622460,836790,4600,2,842.74,1685.48
2933893,836790,1765,3,349.89,1049.67
9379802,254518,6576,2,663.07,1326.14
5541954,254518,4848,1,769.52,769.52
3530956,254518,7261,3,482.1,1446.3
3626973,262300,4272,3,269.87,809.61
4057262,262300,9077,3,604.55,1813.65
6097253,262300,9389,2,451.95,903.9
2336727,947214,7541,1,762.87,762.87
8155403,947214,2410,1,623.14,623.14
4261168,958385,6111,1,782.77,782.77
8147138,958385,3986,1,578.03,578.03
9582427,958385,1235,2,190.27,380.54
3931515,958385,1916,3,460.13,1380.39
1387320,482455,2934,3,772.11,2316.33
1602119,120067,7820,2,209.56,419.12
9679486,120067,2611,1,394.98,394.98
5384191,120067,1857,2,934.91,1869.82
4763184,120067,2263,3,791.05,2373.15
3697525,788509,9463,1,118.31,118.31
5311435,788509,5599,1,816.02,816.02
8465722,788509,4732,1,455.79,455.79
4135255,788509,3558,2,202.56,405.12
5970600,769000,1016,3,951.66,2854.98
4775416,769000,5553,2,510.24,1020.48
3744871,769000,1044,1,453.69,453.69
5218482,317399,1765,1,349.89,349.89
1756074,839485,9538,3,570.66,1711.98
1811144,839485,2309,1,414.57,414.57
3602252,839485,9652,3,310.94,932.82
9950250,839485,3544,2,41.67,83.34
6313634,596616,5221,2,750.98,1501.96
